,Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
636,Unnamed Property,Juhu Mumbai South West Mumbai,Juhu Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1900,42105,13,3,3,800
637,Nahar Jonquille and Jamaica ,Powai Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050,17809,8,2,2,187
638,New Satara CHS ,3rd Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1050,9333,3,2,2,98
639,Unnamed Property,Koparkhairane Sector 15 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1100,10000,1,2,2,110
640,RNA NG Grand Plaza ,Sector 11 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1650,16666,18,3,3,275
641,RNA NG Grand Plaza ,Sector 11 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200,14166,10,2,2,170
642,Satyam Harmony ,Sector 9 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1100,13636,17,2,2,150
643,Satyam Harmony ,Sector 9 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1400,13214,17,3,2,185
644,Bhoomi Gardenia 2 ,Sector 20 Roadpali Navi Mumbai Kalamboli Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1130,7433,10,2,2,84
645,Vicky Apartment ,Prabhadevi South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Built Up Area,2064,42393,2,4,4,875
646,Bhumiraj Hermitage ,2501 Palm Beach Navi Mumbai Mumbai,Palm Beach Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1693,25103,25,3,3,425
647,Baba Pearl Heights ,Sector 20 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1275,6156,2,2,2,78
648,Unnamed Property,B601 Dadabhai Cross Road 1 Near Bhavans College Andheri West Mumbai 400058 Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Super Built Up Area,1100,19090,6,2,3,210
649,L and T Emerald Isle ,Powai Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,650,27960,12,2,2,182
650,Rustomjee Avenue L1 L2 and L4 ,Virar West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,553,7866,8,2,2,43
651,Right Grishma Heights ,Kandivali West Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,704,29119,8,2,2,205
652,Right Grishma Heights ,Kandivali West Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,850,30065,17,3,3,256
653,Ekta Parksville ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,373,7640,6,1,1,28
654,Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,10+ Year,Ready To Move,Carpet Area,700,10000,3,2,2,70
655,Royce Vaibhavi City ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Carpet Area,650,6923,3,2,1,45
656,Sai Satyam Residency ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Carpet Area,435,8275,2,1,1,36
657,Raunak City 3 ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Carpet Area,364,9890,6,1,1,36
658,Piramal Nagar CHS ,C 01 Goregaon West Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Super Built Up Area,905,30000,1,2,2,195
659,Unnamed Property,B Wing Oxford 202 Manpada Thane Mumbai,Manpada Thane,10+ Year,Ready To Move,Carpet Area,500,16400,2,1,2,82
660,Gajora Kalpavruksha Valley ,Sector 23 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,740,5135,1,1,2,38
661,Sai Kaveesha ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,418,8851,5,1,1,37
662,Sai Kaveesha ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,418,9569,2,1,1,40
663,Royal Galaxy ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,685,4817,4,1,1,33
664,Royal Galaxy ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,460,5217,3,1,1,24
665,Unnamed Property,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,710,6338,7,1,1,45
666,Kabra Centroid ,Kalina Mumbai South West Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1250,18400,8,2,2,230
667,Juhi Residency ,Sector 5 Kamothe Sector 5 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1333,7501,9,2,2,100
668,Unnamed Property,Sector 20 Kamothe Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,650,7076,3,1,1,46
669,VUB Veermaa Paradise ,Sector 20 Kamothe Sector 20 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,680,9705,11,1,1,66
670,Unnamed Property,Sector 22 Kamothe Sector22 kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1000,7500,2,2,2,75
671,Omkar Meridia ,kurla west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,454,24229,8,1,1,110
672,Unnamed Property,IC Colony Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,634,22082,3,2,2,140
673,Paradise Sai World City ,Xxxx Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1300,10000,12,2,2,130
674,Tejas Heights ,Xxx Sector 17 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1154,10745,13,2,2,124
675,Ganraj Eknath Residency ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,490,5293,1,1,1,25
676,Runwal Forests ,3502 Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1528,19306,43,3,2,295
677,Runwal Forests ,4504 Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1729,17061,47,3,3,295
678,Runwal Forests ,2501 Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1729,17351,35,3,2,300
679,Aadi Allure ,302 Kanjur Marg East Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,665,23308,3,2,2,155
680,Aadi Allure ,1201 Kanjur Marg East Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,730,23972,12,2,2,175
681,Lake Primrose ,1010 Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1500,22000,10,3,3,330
682,Shraddha Autumn Park ,901 Kanjur Marg East Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,375,25333,9,1,2,95
683,Vijay Garden ,kavesar Thane Mumbai,Kavesar Thane,10+ Year,Ready To Move,Super Built Up Area,650,8923,7,1,1,58
684,Ekta Parksville ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,664,6250,10,2,2,41
685,Godrej Tranquil ,Kandivali East Mumbai,Kandivali Mumbai,Under Construction,Under Construction,Carpet Area,438,23972,5,1,2,105
686,Unnamed Property,Acme Oasis Lokhandwala Township Kandivali East Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1250,17600,16,3,3,220
687,Deep Auralis The Twins ,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1999,15007,4,4,4,300
688,Hiranandani Northside ,Hiranandani Meadows Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,1780,19157,8,3,3,341
689,Runwal Forests ,Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1080,27777,35,3,3,300
690,Jewel Heights ,403 Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Carpet Area,590,6101,4,2,2,36
691,Jewel Heights ,305 Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Carpet Area,560,6250,3,2,2,35
692,Jewel Heights ,401 Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Carpet Area,490,5000,4,1,1,24
693,Jewel Heights ,202 Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Carpet Area,480,4791,2,1,1,23
694,Adhiraj Zinnia ,1402 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1600,13125,15,3,3,210
695,Indraprastha CHS ,Sion East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1300,38461,3,3,3,500
696,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,447,8892,23,1,1,39
697,Unnamed Property,1700 Anand Nagar Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1500,12142,19,3,3,170
698,Satyam Harmony ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1205,16182,17,3,2,195
699,Unnamed Property,Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Super Built Up Area,690,4057,1,1,1,28
700,Unnamed Property,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1100,10000,2,2,2,110
701,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1299,14241,12,2,2,185
702,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1427,19271,9,3,3,275
703,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1427,13314,20,2,2,190
704,Juhi Serenity ,1806 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1200,14583,18,2,2,175
705,Unnamed Property,304 Gaovdevi Maidan Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Super Built Up Area,620,14516,3,1,1,90
706,Kanakia Paris ,1001 Bandra Kurla Complex Mumbai South West Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1034,33849,10,3,2,350
707,Unnamed Property,401 Naupada Thane Mumbai,Naupada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1500,15333,4,3,3,230
708,Dosti West County ,2 Bhk Hill Facing Flat Available Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Built Up Area,800,14000,15,2,2,112
709,Unnamed Property,302 Naupada Thane Mumbai,Naupada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1000,16500,3,2,2,165
710,Unnamed Property,202 Hiranandani Estate Thane Mumbai,Hiranandani Thane,5 to 10 Year,Ready To Move,Carpet Area,700,17142,2,2,2,120
711,Hiranandani Gardens Lotus ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,850,30000,5,2,2,255
712,Unnamed Property,Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Built Up Area,817,11750,28,2,2,96
713,RNA NG Regency ,Balkum Thane Mumbai,Balkum Thane,1 to 5 Year,Ready To Move,Built Up Area,580,9137,5,1,1,53
714,Orovia Phase 1 ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Built Up Area,666,11111,19,1,2,74
715,Tharwani Krupa ,Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,980,8137,2,2,2,79
716,Om Aditya Paraiso ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,995,6331,1,2,2,63
717,Unnamed Property,2003 Hiranandani Estate Thane Mumbai,Hiranandani Thane,5 to 10 Year,Ready To Move,Carpet Area,750,17333,20,2,2,130
718,Unnamed Property,Sector 14 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,1100,15454,2,2,2,170
719,Unnamed Property,Nalasopara East Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,650,5076,1,1,2,33
720,Shree Ostwal Point ,Mira Bhayandar Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,308,13311,1,1,1,41
721,Unnamed Property,2bhk With Large Balcony Flat Available For Sell Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1100,11363,6,2,2,125
722,Oberoi Splendor ,Oberoi Splendor Nr Oberoi International School Jvlr Andheri East Mumbai 400060 Jogeshwari East Mumbai,Jogeshwari Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1377,28867,23,3,2,398
723,Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1140,5701,34,2,2,65
724,Unnamed Property,Virar East Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,485,4948,0,1,2,26
725,Ayodhya Saffron Residency ,1001 Nehru Nagar Central Mumbai suburbs Mumbai,Central Mumbai,Under Construction,Under Construction,Carpet Area,461,26030,10,1,2,120
726,Unnamed Property,Matunga East South Mumbai Mumbai,Matunga Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1750,42914,8,4,5,751
727,Unnamed Property,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,900,12777,2,2,2,115
728,Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1850,9189,8,3,3,170
729,JP North Celeste ,123 Vinay Nagar Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,756,8862,12,1,2,67
730,JP North Garden City ,123 Vinay Nagar Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,693,8946,22,1,2,62
731,Arkade Acropolis ,Virar West Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,630,4523,5,1,2,28
732,Raj Grandeur ,Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,3360,22321,23,4,3,750
733,Silicon Park ,0000 Jankalyan Nagar Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1600,14068,1,3,3,185
734,Unique Aurum ,4th Poonam Gardens Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,980,9693,4,2,2,95
735,Unnamed Property,Flat No 2 Mahalaxmi South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Super Built Up Area,500,30833,1,1,1,129
736,Aashray Pearl ,Ambernath East Mumbai Beyond Thane Mumbai,Ambernath Mumbai,1 to 5 Year,Ready To Move,Built Up Area,600,3999,6,1,1,24
737,Hiranandani Rodas Enclave ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Carpet Area,727,23383,9,2,2,170
738,Sunteck West World ,550 Naigaon East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,392,11479,5,1,2,45
739,Unnamed Property,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1500,10666,8,3,3,160
740,Unnamed Property,10mins Walking Distance From Seawoods Rly Stn Sector 44A Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1800,14444,7,3,3,260
741,Unnamed Property,Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Carpet Area,430,20930,3,1,2,90
742,Shree Gokul dham ,Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1005,9850,2,2,2,99
743,Siddhi Belleza ,Kutak Bandhan Navi Mumbai Mumbai,Bandhan Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1185,8354,1,2,2,99
744,Nisarg Hyde Park ,Sector 35G Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,670,9031,10,1,1,68
745,Vikas Ritz ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,775,11354,3,3,3,88
746,Royal Oasis ,Jankalyan Nagar Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,669,21225,13,2,2,142
747,Dynamic Triveni Garden ,Adharwadi Mumbai Beyond Thane Mumbai,Adharwadi Mumbai,1 to 5 Year,Ready To Move,Carpet Area,618,12135,7,2,2,75
748,Silicon Park ,Jankalyan Nagar Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,700,11714,6,1,2,82
749,Hiranandani Castle Rock ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,777,41827,3,2,2,325
750,Unnamed Property,101 Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1240,32258,1,3,3,400
751,Sejal Suyash Pride ,Sector 5 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1120,7589,7,2,2,85
752,Unnamed Property,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,800,16125,5,2,2,129
753,Cosmos Angle ,GB Road Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,960,13854,6,3,3,133
754,Unnamed Property,Sector 30 Belapur Navi Mumbai Mumbai,Belapur Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1800,15000,14,3,3,270
755,Arkade Serene ,Sunder Nagar Mumbai,Sunder Nagar,0 to 1 Year,Ready To Move,Carpet Area,604,28311,11,2,2,171
756,Neptune Flying Kite ,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1098,20582,19,3,3,226
757,Valencia Apartment ,403 Wadala East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Carpet Area,450,26111,4,1,2,118
758,Unnamed Property,Powai Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,600,25000,1,2,2,150
759,Anmol Sadan ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1500,7333,5,3,3,110
760,Satyam Majestic ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1550,8064,13,3,3,125
761,Unnamed Property,Sector 9 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1650,9090,3,3,3,150
762,Delta Tower ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1730,8959,6,3,3,155
763,Balaji Delta Tower 2 ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1350,8518,10,2,2,115
764,Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1850,8918,3,3,3,165
765,Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1350,8888,3,2,2,120
766,Sahil Siddhivinayak Solitaire ,Sector 18 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1650,9090,9,3,3,150
767,Laxmina Aurum ,Ulwe Sector 17 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1129,7440,8,2,2,84
768,Unnamed Property,Neral Mumbai Beyond Thane Mumbai,Neral Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,680,3267,1,1,2,22
769,Shyam Sunrise ,Near Bank Of Baroda Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,655,8396,1,1,1,55
770,Vardhman Bhoomi Jyot ,Near K K Cinema Kamothe Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1020,7352,2,2,2,75
771,Radiant Sapphire ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1140,8771,7,2,2,100
772,Anmol Sankalp ,Ulwe Sector 5 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1100,8454,12,2,2,93
773,Unnamed Property,Ulwe Sector 10B Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1200,8750,6,2,2,105
774,SM Vision ,Sector 9 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1650,10000,9,3,3,165
775,Gami Trixie ,Sector 20 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150,9130,7,2,2,105
776,Sheth Vasant Oasis ,Makwana Road Marol Marol Mumbai,Marol Mumbai,0 to 1 Year,Ready To Move,Carpet Area,450,27625,5,1,1,135
777,Earth Aditya Heights ,Kharghar Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1160,8879,13,2,2,103
778,Kesar Harmony ,Kharghar Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1850,14594,6,3,3,270
779,DLH Mamta ,1405 DN Nagar Mumbai,Dn Nagar,0 to 1 Year,Ready To Move,Super Built Up Area,1100,23636,14,2,2,260
780,Kukreja Golf Scappe ,Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Carpet Area,734,34059,3,2,2,250
781,Lodha Fiorenza ,Goregaon East Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,838,35799,42,2,2,300
782,Lodha Fiorenza ,Goregaon East Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1100,33181,20,3,3,365
783,Lodha Splendora ,Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,993,10976,23,3,3,109
784,Yash Signature ,Deonar Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1385,13357,7,2,2,185
785,Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,753,25896,18,2,3,195
786,Mallhar Bhimashankar Heights ,Kandarpada Mumbai,Kandarpada Mumbai,0 to 1 Year,Ready To Move,Carpet Area,753,26029,19,2,3,196
787,Unnamed Property,Dahisar West Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,425,24000,4,1,1,102
788,Unnamed Property,IC Colony Mumbai,Borivali Mumbai,5 to 10 Year,Ready To Move,Carpet Area,250,28400,1,1,1,71
789,Nahars Amrit Shakti ,Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,890,22471,12,2,2,200
790,Unnamed Property,Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1010,33168,7,2,2,335
791,Unnamed Property,Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1011,32640,13,2,2,330
792,Unnamed Property,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,500,30000,3,1,2,150
793,Haware Dahlia ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Super Built Up Area,633,7424,5,1,2,47
794,Dedhia Elita ,Owale Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1017,10324,20,2,2,105
795,Unique Greens ,kavesar Thane Mumbai,Kavesar Thane,1 to 5 Year,Ready To Move,Super Built Up Area,740,9054,9,1,2,67
796,Kiran Shree Smaran ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Carpet Area,623,11878,3,2,2,74
797,Vihangs Vermont ,Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,944,7521,6,2,2,71
798,Squarefeet Grand Square ,Anand Nagar Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,449,9799,3,1,1,44
799,KIPL Morya ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Carpet Area,320,11562,8,1,1,37
800,Unnamed Property,Ghodbunder Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,430,13720,15,1,2,59
801,Unnamed Property,Ghodbunder Road Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,650,12307,17,2,2,80
802,KIPL Morya ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Super Built Up Area,723,7607,14,1,1,55
803,KIPL Morya ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Carpet Area,400,11750,10,1,2,47
